Date,Manufacturer,Subject,Recall Type,Potentially Affected
09/14/2022,Nikola Corporation,Improperly Installed Seat Belt Assembly,Vehicle,93
09/14/2022,"Sumitomo Rubber USA, LLC",Incomplete Curing of the Tread Base Rubber,Tire,5814
09/14/2022,Lippert,Incorrect Outer Bearings May Overheat,Equipment,404
09/14/2022,"Daimler Trucks North America, LLC",Insufficient Rear Panel Joint Strength/FMVSS 221,Vehicle,1259
09/14/2022,Ford Motor Company,Parking Lights May Flicker/FMVSS 108,Vehicle,86050
09/13/2022,"BMW of North America, LLC",Battery Electrode Improperly Sized,Vehicle,16
09/12/2022,"Mercedes-Benz USA, LLC",Disabled ABS & Stability Control System,Vehicle,4
09/12/2022,"Spartan Fire, LLC",Front Wheel Parking Brake Failure,Vehicle,8
09/12/2022,"Daimler Trucks North America, LLC",Improperly Installed Steering Shaft Bolt,Vehicle,200
09/12/2022,Farber Specialty Vehicles,Loss of Vehicle Lighting,Vehicle,1
09/12/2022,"Mercedes-Benz USA, LLC",Rear Door Window Trim Bars May Detach,Vehicle,161000
09/12/2022,"Mercedes-Benz USA, LLC",Short Circuit from Moisture Accumulation in Trunk,Vehicle,6752
09/08/2022,"Volkswagen Group of America, Inc.",Fuel Tank Vent Pipe May Be Damaged,Vehicle,13004
09/08/2022,"BMW of North America, LLC",Horn Not Attached Securely,Vehicle,252
09/08/2022,"Terex South Dakota, Inc.",Platform Leveling Cylinder Support Welds Failure,Vehicle,194
09/08/2022,Ford Motor Company,Wheel Lug Nuts Not Tightened Correctly,Vehicle,1519
09/07/2022,"BMW of North America, LLC",Third-Row Seat Springs Improperly Installed,Vehicle,246
09/07/2022,"Nissan North America, Inc.",Unsecured Transmission May Cause Rollaway,Vehicle,197230
09/06/2022,Keystone RV Company,Electric Stabilizer Jack Switch May Short,Vehicle,536
09/06/2022,Alamo Group Inc.,Hose Reel Assembly Failure,Vehicle,150
09/06/2022,"Forest River, Inc.",Secondary Emergency Exit Missing,Vehicle,49
09/01/2022,Vermeer Manufacturing Company,Frame Structure Failure,Vehicle,45
09/01/2022,Honda (American Honda Motor Co.),Engine Stall or Loss of Drive from Software Error,Vehicle,1561
09/01/2022,Toyota Motor Engineering & Manufacturing,Parking Brake May Fail/FMVSS 135,Vehicle,83725
09/01/2022,"Nissan North America, Inc.",Seat Belt Not Retracting Properly/FMVSS 208 & 209,Vehicle,8391
09/01/2022,"Jayco, Inc.",Torsion Bar Assembled Incorrectly,Vehicle,245
09/01/2022,"Jayco, Inc.",Water Drain Not Installed In Air Intake Box,Vehicle,856
08/31/2022,"Nissan North America, Inc.",Fuel Tank May Leak,Vehicle,190
08/31/2022,"Jayco, Inc.",Incorrectly Routed Refrigerator LP Gas Line,Vehicle,45
08/31/2022,"Volkswagen Group of America, Inc.",Loose Hitch Bolts May Allow Trailer to Separate,Vehicle,3184
08/31/2022,Shyft Group,Welds May Be Missing Or Crack In Frame,Vehicle,2139
08/30/2022,"Porsche Cars North America, Inc.",Headlight Adjustment Screw Missing Cover/FMVSS 108,Vehicle,222858
08/30/2022,REV Recreation Group,Hydraulic Lines Improperly Routed,Vehicle,4395
08/30/2022,Oshkosh Corporation,Steering Gear Assembled Incorrectly,Equipment,143
08/29/2022,"Volkswagen Group of America, Inc.",Front Passenger Air Bag May Not Deploy Properly,Vehicle,4117
08/29/2022,"Daimler Trucks North America, LLC",Hood Bezel Covers May Detach,Vehicle,3498
08/29/2022,Roadtrek Inc.,Improperly Tightened Seat Mounting Bolts/FMVSS 207,Vehicle,36
08/29/2022,Wayfarer,Improperly Tightened Wheel Lug Nuts,Vehicle,9
08/29/2022,DRV Suites,Incorrect Placement of Rear Lights/FMVSS 108,Vehicle,491
08/29/2022,"Kia America, Inc.",Loose Alternator Battery Nut,Vehicle,19701
08/29/2022,Cruise LLC,Software May Cause Improper ADS Response,Equipment,80
08/26/2022,Ford Motor Company,Blower Motor Failure May Cause Fire,Vehicle,198482
08/26/2022,Ford Motor Company,Cloudy Camera Lens May Reduce Rear Visibility,Vehicle,277040
08/26/2022,"Hino Motors Sales U.S.A., Inc.",Electrical Short Circuit May Cause Engine Stall,Vehicle,7
08/26/2022,"Forest River, Inc.",Incorrect Axle Rating on Federal Placard,Vehicle,6
08/26/2022,"Chrysler (FCA US, LLC)",Internal ECM Short May Cause Loss of Drive Power,Vehicle,4907
08/26/2022,Ford Motor Company,Rear Axle Half Shaft May Break Under Load,Vehicle,1175
08/26/2022,Dennis Eagle Inc.,Steering Cross Shaft Malfunction,Vehicle,25
08/25/2022,"Rivian Automotive, LLC",Improperly Secured Front Seat Belt Anchor,Vehicle,207
08/25/2022,"Chrysler (FCA US, LLC)",Rearview Camera Image May Not Display/FMVSS 111,Vehicle,7895
08/25/2022,"General Motors, LLC",Secondary Hood Latch Corrosion,Vehicle,120688
08/25/2022,PT. Elangperdana Tyre Industry,Tire Sidewall Separation/ FMVSS 139,Tire,31500
